Username,Original Text,Processed Text,Language,Sentiment,Retweets,Likes,Created At
Lovin Dubai | لوڤن دبي,"Rest in peace, Neeraj Udhwani. ❤️  A beloved Dubai resident who was killed in the Phalagam terror attack. https://t.co/O0ANduyiUx","Rest in peace, Neeraj Udhwani. ❤️  A beloved Dubai resident who was killed in the Phalagam terror attack. https://t.co/O0ANduyiUx",en,negative,4,9,Thu Apr 24 09:00:12 +0000 2025
സുനിൽ ചെന്നൈക്കാരൻ,"#Phalagam 
#HindusUnderAttack https://t.co/pZemCMYuSh","#Phalagam 
#HindusUnderAttack https://t.co/pZemCMYuSh",de,negative,1,5,Tue Apr 22 15:05:25 +0000 2025
QTπᥫ᭡,"Terrorism has only one religion.
#Phalagam https://t.co/2yhK38kXSQ","Terrorism has only one religion.
#Phalagam https://t.co/2yhK38kXSQ",en,negative,2,46,Wed Apr 23 02:15:51 +0000 2025
Ashish Meena,"Terrorism has no religion.🤡
#Phalagam  J&amp;K. https://t.co/2uumCHvDxw","Terrorism has no religion.🤡
#Phalagam  J&amp;K. https://t.co/2uumCHvDxw",en,negative,1,12,Tue Apr 22 17:29:04 +0000 2025
United,"Aisa Desh hai Mera 🇮🇳.
.
#Phalagam https://t.co/8Slxi2cBeN","Aisa desh hai mera 🇮🇳.
,
#Phalagam https://t.co/8slxi2cben",id,neutral,2,12,Tue Apr 22 17:15:50 +0000 2025
Cult_Riser,"This is how beautiful #Phalagam is ! 🌴🐎

#Nature #Mountains #Scenery #Kashmir https://t.co/SITn6bPAKS","This is how beautiful #Phalagam is ! 🌴🐎

#Nature #Mountains #Scenery #Kashmir https://t.co/SITn6bPAKS",en,positive,10,79,Thu Apr 24 04:12:14 +0000 2025
Rohit Kejriwal,"Thank you so much Modi ji 
#Phalagam 
#phalagamterrorattack 
#AmitShah 
#Phalagamattack https://t.co/m3SkJBPw3m","Thank you so much modi ji 
#Phalagam 
#Phalagamterrorattack 
#AMITSHAHH 
#Phalagamattack https://t.co/m3skjbpw3m",id,positive,2,11,Wed Apr 23 07:39:46 +0000 2025
🇮🇳,"#Phalagam #PMModi

Killing terrorists is easy because their sole purpose of life is to die for their cause. If India wants to avenge the death then it has to kill 100 ISI officers at least. 
 https://t.co/mULcltbtNn","#Phalagam #PMModi

Killing terrorists is easy because their sole purpose of life is to die for their cause. If India wants to avenge the death then it has to kill 100 ISI officers at least. 
 https://t.co/mULcltbtNn",en,negative,1,7,Thu Apr 24 07:55:39 +0000 2025
Anas Bukhari,"If water doesn't flow in the rivers, then blood will flow 
#Phalagam https://t.co/XzaGAR1Jg9","If water doesn't flow in the rivers, then blood will flow 
#Phalagam https://t.co/XzaGAR1Jg9",en,neutral,6,7,Wed Apr 23 17:15:39 +0000 2025
Aditi Singh,Hindu in a Hindu majority country 💔 #Phalagam #AttackOnTourist https://t.co/fyCU8Lrkbe,Hindu in a Hindu majority country 💔 #Phalagam #AttackOnTourist https://t.co/fyCU8Lrkbe,en,negative,29,108,Tue Apr 22 17:13:27 +0000 2025
